index,d__Bacteria,Unassigned,d__Archaea,d__Eukaryota,Insect Order
SRR11795874,7313,0,0,0,Lepidoptera
SRR11795875,9779,301,0,0,Lepidoptera
SRR11795876,5309,0,0,0,Lepidoptera
SRR11795877,19174,0,0,0,Lepidoptera
SRR11795878,24721,0,0,0,Lepidoptera
SRR11795879,11972,0,0,0,Lepidoptera
SRR11795880,15180,0,0,0,Lepidoptera
SRR11795881,13579,0,0,0,Lepidoptera
SRR11795882,20787,0,0,0,Lepidoptera
SRR11795883,19251,0,0,0,Lepidoptera
SRR11795884,10025,0,0,0,Lepidoptera
SRR11795885,2498,0,0,0,Lepidoptera
SRR11795886,2963,0,0,0,Lepidoptera
SRR11795887,9720,0,0,0,Lepidoptera
SRR11795888,7390,0,0,0,Lepidoptera
SRR11795889,19405,0,0,0,Lepidoptera
SRR11795890,7443,0,0,0,Lepidoptera
SRR11795891,7319,0,0,0,Lepidoptera
SRR11795892,6872,0,0,0,Lepidoptera
SRR11795893,17993,0,0,0,Lepidoptera
SRR11795894,14452,0,0,0,Lepidoptera
SRR11795895,16766,0,0,0,Lepidoptera
SRR11795896,13819,0,0,0,Lepidoptera
SRR11795897,6322,0,0,0,Lepidoptera
SRR11795898,23119,0,0,0,Lepidoptera
SRR11795899,9651,0,0,0,Lepidoptera
SRR11795900,6518,0,0,0,Lepidoptera
SRR11795901,5012,0,0,0,Lepidoptera
SRR11799805,2108,0,0,0,Lepidoptera
SRR8741962,8714,0,0,0,Diptera
SRR8741968,9742,0,0,0,Diptera
SRR8741972,27664,0,0,0,Diptera
SRR8741973,31048,0,0,0,Diptera
SRR8741974,15870,0,0,0,Diptera
SRR8741975,14965,0,0,0,Diptera
SRR8741982,4584,0,0,0,Diptera
SRR8741983,39797,0,0,0,Diptera
SRR8741984,27495,0,0,261,Diptera
SRR8741985,28475,0,0,9,Diptera
SRR8741986,11299,0,0,27,Diptera
SRR8741987,23576,0,0,0,Diptera
SRR8741988,12735,0,0,0,Diptera
SRR8741989,6678,0,0,0,Diptera
